Title, Price, URL
Playstation TV,600,https://www.gumtree.co.za//a-playstation-consoles/durban-north/playstation-tv/1008262540980911084977709
ps3 bundle swop for ps4 or xbox 1 with a R600 cash diff,2800,https://www.gumtree.co.za//a-playstation-consoles/phoenix/ps3-bundle-swop-for-ps4-or-xbox-1-with-a-r600-cash-diff/1008260460980912594696309
Playstation 4 with controller,2000,https://www.gumtree.co.za//a-playstation-consoles/orange-farm/playstation-4-with-controller/1008255523060912702396809
PS4 CONTROLLER WIRELESS,450,https://www.gumtree.co.za//a-playstation-consoles/city-centre/ps4-controller-wireless/1008253342560911760161309
PS4 WIRELESS CONTROLLERS,450,https://www.gumtree.co.za//a-playstation-consoles/midrand/ps4-wireless-controllers/1008251664530911760161309
PS4 500gb Console ,2999,https://www.gumtree.co.za//a-playstation-consoles/durban-north/ps4-500gb-console/1008250958780910003554009
Wanted: Looking to BUY a Playstation 4 - PS4,3000,https://www.gumtree.co.za//a-playstation-consoles/pietermaritzburg/wanted-looking-to-buy-a-playstation-4-+-ps4/1007873566270910011721709
Wanted: Looking to BUY a Playstation 4 - PS4,3000,https://www.gumtree.co.za//a-playstation-consoles/pietermaritzburg/wanted-looking-to-buy-a-playstation-4-+-ps4/1007448502560910011721709
BROKEN Ps3 slim,150,https://www.gumtree.co.za//a-playstation-consoles/mitchell-s-plain/broken-ps3-slim/1008239191570912636916109
SALE--PS2|PS3|PS4 and XBOX 360 Controllers For Sale---,80,https://www.gumtree.co.za//a-playstation-consoles/goodwood/sale++ps2-ps3-ps4-and-xbox-360-controllers-for-sale+++/1001773352050910003245709
Rugby 20 PS4,400,https://www.gumtree.co.za//a-playstation-consoles/port-elizabeth/rugby-20-ps4/1008230148210910034762709
playstation 4,2900,https://www.gumtree.co.za//a-playstation-consoles/rosebank/playstation-4/1008227470160912416270809
PS4 Games - R200 each,200,https://www.gumtree.co.za//a-playstation-consoles/phoenix/ps4-games-+-r200-each/1008226464310911008038609
1 TB all Matt PS4 with 4 games,5,https://www.gumtree.co.za//a-playstation-consoles/mokopane-potgietersrus/1-tb-all-matt-ps4-with-4-games/1008220891180912682347309
Ps4 wireless controller ,600,https://www.gumtree.co.za//a-playstation-consoles/port-elizabeth/ps4-wireless-controller/1008220706800910937102609
Sony PS4 camera ,499,https://www.gumtree.co.za//a-playstation-consoles/gillitts/sony-ps4-camera/1008219203000911416799809
Limited Edition 500GB PS3 - EXCELLENT condition ,2599,https://www.gumtree.co.za//a-playstation-consoles/northcliff/limited-edition-500gb-ps3-+-excellent-condition/1008215598060910030949009
Sony wireless controller PS4,600,https://www.gumtree.co.za//a-playstation-consoles/port-elizabeth/sony-wireless-controller-ps4/1008198936490910937102609
PS4 Dualshock 4 Controller - Black V2 (PS4),950,https://www.gumtree.co.za//a-playstation-consoles/brackenfell/ps4-dualshock-4-controller-+-black-v2-ps4/1007656718530911276719109
PsVita Sale,1200,https://www.gumtree.co.za//a-playstation-consoles/goodwood/psvita-sale/1007809335370910971833309
Wanted - PS4 with remote (R2k cash),2500,https://www.gumtree.co.za//a-playstation-consoles/higgovale/wanted-+-ps4-with-remote-r2k-cash/1008187433580910015166109
PlayStation 3 console with games (1 PS4 game),1800,https://www.gumtree.co.za//a-playstation-consoles/retreat/playstation-3-console-with-games-1-ps4-game/1008183736740912680259309
Ps4 Controller Charge Ribbon Cable,80,https://www.gumtree.co.za//a-playstation-consoles/other/ps4-controller-charge-ribbon-cable/1001741490170910005595609
PS4 CONTROLLER DUELSHOCK BLUETOOTH,600,https://www.gumtree.co.za//a-playstation-consoles/johannesburg-south/ps4-controller-duelshock-bluetooth/1007778083460911322814909
Ps4 Controller,499,https://www.gumtree.co.za//a-playstation-consoles/elsie-s-river/ps4-controller/1008177982110911406722809
PS4 For sale (NON WORKING CONSOLE) READ DESCRIPTION!,2800,https://www.gumtree.co.za//a-playstation-consoles/phoenix/ps4-for-sale-non-working-console-read-description/1008175632450910072473009
Swap for a ps4 or just cash,3000,https://www.gumtree.co.za//a-playstation-consoles/phoenix/swap-for-a-ps4-or-just-cash/1007834877160912634975209
Wanted PS3/PS4 machines(consoles) Good working order only,3000,https://www.gumtree.co.za//a-playstation-consoles/gillitts/wanted-ps3-ps4-machines-consoles-good-working-order-only/1007996029210910169373709
PS3 Power Supply Units  (For PS3 Slim),300,https://www.gumtree.co.za//a-playstation-consoles/city-centre/ps3-power-supply-units-for-ps3-slim/1007735721710912615145809
Gran Tourismo Sport ,500,https://www.gumtree.co.za//a-playstation-consoles/illovo/gran-tourismo-sport/1008160899490912658857709
PlayStation 1 - PsOne plus accessories for sale R999 for everything,999,https://www.gumtree.co.za//a-playstation-consoles/athlone/playstation-1-+-psone-plus-accessories-for-sale-r999-for-everything/1008154409780910048783309
Nacon Rev. Pro 3 controller for sale/swap ,1500,https://www.gumtree.co.za//a-playstation-consoles/arcadia/nacon-rev-pro-3-controller-for-sale-swap/1008145539670910009265809
Ps4 Controller Powerpack for sale,250,https://www.gumtree.co.za//a-playstation-consoles/queensburgh/ps4-controller-powerpack-for-sale/1005880777230910034097309
PS 4 Controller,650,https://www.gumtree.co.za//a-playstation-consoles/despatch/ps-4-controller/1007712415420910196972209
PS4 Controller,500,https://www.gumtree.co.za//a-playstation-consoles/despatch/ps4-controller/1007712569020910196972209
2 ps4 controllers,1000,https://www.gumtree.co.za//a-playstation-consoles/lenasia/2-ps4-controllers/1008126011580912669163309
Ps4 Consoles Wanted Looking for ,3000,https://www.gumtree.co.za//a-playstation-consoles/northcliff/ps4-consoles-wanted-looking-for/1006302851970910871371309
Playstations 4 HDMI Port replacement ,1200,https://www.gumtree.co.za//a-playstation-consoles/bedfordview/playstations-4-hdmi-port-replacement/1008119427790912412564209
8 ps4 games,1400,https://www.gumtree.co.za//a-playstation-consoles/emmarentia/8-ps4-games/1008106955640912672695909
Need for speed ,350,https://www.gumtree.co.za//a-playstation-consoles/tongaat/need-for-speed/1008099792690912630713809
PlayStation Vita Console - 3G/Wi-Fi (PS Vita),2248,https://www.gumtree.co.za//a-playstation-consoles/city-centre/playstation-vita-console-+-3g-wi+fi-ps-vita/1004953429600910002148009
PS4 controller ,400,https://www.gumtree.co.za//a-playstation-consoles/somerset-west/ps4-controller/1008084737510912636814109
Gran turismo and uncharted 4,300,https://www.gumtree.co.za//a-playstation-consoles/port-elizabeth/gran-turismo-and-uncharted-4/1007898782960912422944409
Sony NEW Dualshock 4 Controller (Black) (PS4) V2 Brand New,1100,https://www.gumtree.co.za//a-playstation-consoles/bellville/sony-new-dualshock-4-controller-black-ps4-v2-brand-new/1007759379840912555319209
Playstation TV,600,https://www.gumtree.co.za//a-playstation-consoles/durban-north/playstation-tv/1008262540980911084977709
ps3 bundle swop for ps4 or xbox 1 with a R600 cash diff,2800,https://www.gumtree.co.za//a-playstation-consoles/phoenix/ps3-bundle-swop-for-ps4-or-xbox-1-with-a-r600-cash-diff/1008260460980912594696309
Playstation TV,600,https://www.gumtree.co.za//a-playstation-consoles/durban-north/playstation-tv/1008262540980911084977709
ps3 bundle swop for ps4 or xbox 1 with a R600 cash diff,2800,https://www.gumtree.co.za//a-playstation-consoles/phoenix/ps3-bundle-swop-for-ps4-or-xbox-1-with-a-r600-cash-diff/1008260460980912594696309
